Населба,Квадратура,Соби,Спрат,Лифт,Греење,Паркинг,Цена (EUR)
1,75.0,4,4,0.0,1.0,1.0,43500.0
30,145.0,5,0,0.0,1.0,1.0,95000.0
36,101.0,6,11,1.0,1.0,1.0,80000.0
30,68.0,3,4,1.0,1.0,1.0,47600.0
6,86.0,4,4,1.0,1.0,1.0,78000.0
2,80.0,"3,5",0,1.0,1.0,1.0,79000.0
2,84.0,3,1,1.0,1.0,0.0,77700.0
2,62.0,2,5,1.0,1.0,1.0,67000.0
1,55.0,3,2,1.0,0.0,0.0,42000.0
8,91.0,2,2,0.0,1.0,1.0,95000.0
2,60.0,3,3,0.0,1.0,1.0,60000.0
1,52.0,2,0,0.0,1.0,1.0,36500.0
2,102.0,"4,5",6,1.0,1.0,1.0,91800.0
1,68.0,3,4,0.0,1.0,1.0,50000.0
2,66.0,3,2,1.0,1.0,1.0,75000.0
5,56.0,2,0,1.0,1.0,0.0,63000.0
6,78.0,2,6,1.0,1.0,1.0,82500.0
10,67.0,2,0,0.0,1.0,1.0,48000.0
6,74.0,2,5,1.0,1.0,1.0,99900.0
36,70.0,2,4,0.0,1.0,1.0,49000.0
6,72.0,3,4,0.0,1.0,1.0,62000.0
8,82.0,3,6,1.0,1.0,0.0,102500.0
36,67.0,"2,5",1,0.0,1.0,1.0,40000.0
6,82.0,3,1,0.0,1.0,0.0,70000.0
8,142.0,4,5,1.0,1.0,1.0,125000.0
6,65.0,3,2,0.0,1.0,0.0,63700.0
11,88.0,4,4,0.0,1.0,1.0,50000.0
6,59.0,3,3,1.0,1.0,1.0,65490.0
2,75.0,4,3,0.0,1.0,1.0,65000.0
2,56.0,3,3,1.0,1.0,0.0,64344.0
6,86.0,"3,5",3,0.0,1.0,1.0,83500.0
5,73.0,3,2,1.0,1.0,1.0,66000.0
6,66.0,3,2,0.0,1.0,1.0,59000.0
1,80.0,"3,5",3,0.0,1.0,0.0,70000.0
8,76.0,3,0,0.0,1.0,1.0,76000.0
8,76.0,3,1,0.0,1.0,1.0,76000.0
8,76.0,2,1,0.0,1.0,1.0,76000.0
6,69.0,2,1,0.0,1.0,1.0,69000.0
8,62.0,2,4,1.0,1.0,0.0,75640.0
2,38.0,1,2,1.0,1.0,0.0,45500.0
8,83.0,4,2,1.0,1.0,1.0,72210.0
8,66.0,"2,5",1,1.0,1.0,1.0,75900.0
8,40.0,2,3,1.0,1.0,1.0,38000.0
8,89.0,"2,5",7,1.0,1.0,1.0,50000.0
5,69.0,3,4,1.0,1.0,1.0,89700.0
8,96.0,4,2,1.0,1.0,1.0,96000.0
2,40.0,"2,5",8,1.0,1.0,1.0,39000.0
1,75.0,4,4,0.0,1.0,1.0,43500.0
1,75.0,4,4,0.0,1.0,1.0,43500.0
36,67.0,3,1,0.0,1.0,1.0,46000.0
5,55.0,2,4,1.0,1.0,1.0,50000.0
2,66.0,"2,5",2,1.0,1.0,1.0,63000.0
1,41.0,2,3,0.0,1.0,1.0,9000.0
1,40.0,"2,5",3,0.0,1.0,1.0,9000.0
2,48.0,"1,5",5,1.0,1.0,1.0,51500.0
8,101.0,4,6,0.0,0.0,0.0,95000.0
2,80.0,"3,5",0,1.0,1.0,1.0,79000.0
8,85.0,4,5,1.0,1.0,0.0,97750.0
8,115.0,4,2,1.0,1.0,0.0,115000.0
8,85.0,4,5,1.0,1.0,0.0,97750.0
8,88.0,3,3,1.0,0.0,1.0,107000.0
8,104.0,4,5,0.0,1.0,1.0,88000.0
8,50.0,2,5,1.0,1.0,1.0,16000.0
8,50.0,2,5,1.0,1.0,1.0,20000.0
2,81.0,4,5,0.0,1.0,1.0,57000.0
6,102.0,3,5,1.0,1.0,0.0,110000.0
2,59.0,3,8,1.0,1.0,1.0,67850.0
30,39.0,1,9,1.0,1.0,0.0,27999.0
5,51.0,2,3,1.0,1.0,0.0,60000.0
30,77.0,4,0,0.0,1.0,1.0,60000.0
6,74.0,2,2,0.0,1.0,0.0,74000.0
2,67.0,3,4,1.0,1.0,1.0,77050.0
5,85.0,4,2,0.0,1.0,0.0,74800.0
30,120.0,5,4,0.0,1.0,1.0,80000.0
2,54.0,3,10,1.0,1.0,1.0,66000.0
30,39.0,2,2,0.0,1.0,0.0,29500.0
1,88.0,4,4,1.0,1.0,0.0,61600.0
6,75.0,3,5,1.0,1.0,1.0,78750.0
1,55.0,3,4,0.0,1.0,0.0,38000.0
2,63.0,3,7,1.0,1.0,1.0,63000.0
37,80.0,3,2,1.0,1.0,1.0,70000.0
5,54.0,2,2,0.0,1.0,1.0,53500.0
2,47.0,2,5,1.0,1.0,1.0,45000.0
8,56.0,2,2,1.0,1.0,1.0,57000.0
5,61.0,2,3,1.0,1.0,1.0,6499.0
5,72.0,"3,5",1,1.0,1.0,1.0,56000.0
8,60.0,3,2,1.0,1.0,0.0,84000.0
10,74.0,4,0,1.0,1.0,1.0,56500.0
2,43.0,2,7,1.0,1.0,1.0,49450.0
2,66.0,3,4,0.0,1.0,1.0,54000.0
8,94.0,"3,5",5,1.0,1.0,1.0,111000.0
2,105.0,3,7,1.0,1.0,1.0,103950.0
6,61.0,"2,5",4,0.0,1.0,1.0,49999.0
6,55.0,2,3,0.0,1.0,1.0,44000.0
6,50.0,2,1,1.0,1.0,1.0,65000.0
1,43.0,2,4,1.0,1.0,1.0,39000.0
1,78.0,3,4,0.0,1.0,1.0,64000.0
1,41.0,2,3,0.0,1.0,1.0,9000.0
8,40.0,2,0,0.0,1.0,0.0,52000.0
10,76.0,3,1,0.0,1.0,1.0,66120.0
8,60.0,3,2,1.0,1.0,0.0,84000.0
6,55.0,"2,5",0,0.0,1.0,1.0,48000.0
2,97.0,4,0,1.0,1.0,1.0,105000.0
2,80.0,3,7,1.0,1.0,0.0,115000.0
2,97.0,4,0,1.0,1.0,1.0,105000.0
5,51.0,2,4,1.0,1.0,1.0,50000.0
5,59.0,2,0,1.0,1.0,0.0,68145.0
5,58.0,2,1,1.0,1.0,1.0,66990.0
2,62.0,3,14,1.0,1.0,1.0,72000.0
2,62.0,3,14,1.0,1.0,1.0,72000.0
2,62.0,3,14,1.0,1.0,1.0,72000.0
5,106.0,4,4,1.0,1.0,0.0,106000.0
6,107.0,3,9,1.0,1.0,0.0,112350.0
2,80.0,4,9,1.0,1.0,1.0,115000.0
2,63.0,3,6,1.0,1.0,0.0,66150.0
2,44.0,2,7,1.0,1.0,0.0,46200.0
2,72.0,3,9,1.0,1.0,1.0,59000.0
8,90.0,3,9,1.0,1.0,1.0,106000.0
2,69.0,3,0,1.0,1.0,1.0,72000.0
8,50.0,2,2,1.0,1.0,1.0,62500.0
8,74.0,3,6,1.0,1.0,0.0,85100.0
8,34.0,2,0,1.0,1.0,0.0,39000.0
5,63.0,3,5,1.0,1.0,1.0,59850.0
6,80.0,3,2,0.0,1.0,1.0,95000.0
1,71.0,3,4,1.0,1.0,1.0,70000.0
5,63.0,3,6,1.0,1.0,1.0,63000.0
6,95.0,4,6,1.0,1.0,1.0,101000.0
5,82.0,3,1,1.0,1.0,1.0,76260.0
8,28.0,1,1,0.0,1.0,1.0,2200.0
8,40.0,"1,5",3,0.0,1.0,0.0,54000.0
30,91.0,3,6,1.0,1.0,1.0,73000.0
5,33.0,2,7,1.0,1.0,1.0,43900.0
5,35.0,2,2,0.0,1.0,1.0,38000.0
8,60.0,2,2,1.0,1.0,0.0,70000.0
5,64.0,2,4,1.0,1.0,1.0,67000.0
2,88.0,3,4,1.0,1.0,0.0,95000.0
5,72.0,"3,5",1,1.0,1.0,1.0,56000.0
5,66.0,3,5,0.0,1.0,1.0,47000.0
2,72.0,"3,5",5,1.0,1.0,1.0,78000.0
6,78.0,5,1,0.0,1.0,1.0,93600.0
6,72.0,3,4,0.0,1.0,1.0,62000.0
8,54.0,2,6,1.0,1.0,1.0,81000.0
2,91.0,"3,5",7,1.0,1.0,0.0,84999.0
5,40.0,2,3,1.0,1.0,0.0,44000.0
2,84.0,3,6,1.0,1.0,1.0,74000.0
5,49.0,2,4,1.0,1.0,1.0,53900.0
